inequality tolerance,utilities,usw alloc u,usw alloc v,nsw alloc u,nsw alloc v,usw u,usw v,nsw u,nsw v,usw PoI,nsw PoI
0.3,"[[array([0.30448696, 0.3243202 , 0.37119285]), array([0.12947353, 0.27067331, 0.59985315])]]","[array([[1.        , 0.99999999, 0.        ],
       [0.        , 0.00000001, 1.        ]])]","[array([[1.        , 0.95133729, 0.        ],
       [0.        , 0.04866271, 1.        ]])]","[array([[1.        , 0.99999999, 0.        ],
       [0.        , 0.00000001, 1.        ]])]","[array([[1.        , 0.95133729, 0.        ],
       [0.        , 0.04866271, 1.        ]])]",1.2286603021935139,1.2260497016563892,0.37719195149632406,0.37579946745612386,0.9978752462886088,0.9963082880356375
0.3,"[[array([0.59332334, 0.1728023 , 0.23387437]), array([0.54366431, 0.03555408, 0.4207816 ])]]","[array([[0.99999998, 0.99999999, 0.        ],
       [0.00000002, 0.        , 1.        ]])]","[array([[ 0.69626404,  1.        , -0.        ],
       [ 0.30373596, -0.        ,  1.        ]])]","[array([[0.74136421, 0.99999999, 0.        ],
       [0.25863579, 0.00000001, 1.        ]])]","[array([[0.69626404, 1.        , 0.        ],
       [0.30373596, 0.        , 1.        ]])]",1.1869072325349055,1.1718240048681645,0.3439489857719213,0.34329287429803607,0.9872919911065607,0.998092416314551
0.3,"[[array([0.16502543, 0.45868984, 0.37628472]), array([0.65749494, 0.28966141, 0.05284366])]]","[array([[0., 1., 1.],
       [1., 0., 0.]])]","[array([[-0.        ,  0.76283913,  1.        ],
       [ 1.        ,  0.23716087,  0.        ]])]","[array([[0.        , 0.99999999, 1.        ],
       [1.        , 0.00000001, 0.        ]])]","[array([[-0.        ,  0.76283913,  1.        ],
       [ 1.        ,  0.23716087,  0.        ]])]",1.4924695019202305,1.4523825723023274,0.5489915475329199,0.5273537836728613,0.973140536830852,0.9605863442574022
0.3,"[[array([0.2541591 , 0.13442748, 0.61141343]), array([0.03036526, 0.50253451, 0.46710024])]]","[array([[1., 0., 1.],
       [0., 1., 0.]])]","[array([[ 1.        , -0.        ,  0.66339044],
       [-0.        ,  1.        ,  0.33660956]])]","[array([[1.        , 0.        , 0.83008456],
       [0.        , 1.        , 0.16991544]])]","[array([[1.        , 0.        , 0.66339044],
       [0.        , 1.        , 0.33660956]])]",1.3681070316252373,1.3195298320824493,0.44322544651280427,0.4352897437665164,0.964493129250947,0.9820955615054954
0.3,"[[array([0.34144276, 0.08135615, 0.5772011 ]), array([0.13921927, 0.38734272, 0.47343801])]]","[array([[1., 0., 1.],
       [0., 1., 0.]])]","[array([[ 1.        , -0.        ,  0.49430672],
       [ 0.        ,  1.        ,  0.50569328]])]","[array([[1.        , 0.        , 0.61329964],
       [0.        , 1.        , 0.38670036]])]","[array([[1.        , 0.        , 0.49430672],
       [0.        , 1.        , 0.50569328]])]",1.3059865700577615,1.2535142781452038,0.3966938250469849,0.3928245111471137,0.9598217216657619,0.9902460949589701
0.3,"[[array([0.56036067, 0.23018579, 0.20945354]), array([0.18249008, 0.43391638, 0.38359353])]]","[array([[1., 0., 0.],
       [0., 1., 1.]])]","[array([[ 1.        ,  0.        ,  0.43360681],
       [-0.        ,  1.        ,  0.56639319]])]","[array([[1.        , 0.        , 0.        ],
       [0.        , 1.        , 0.99999999]])]","[array([[ 1.        ,  0.00000003,  0.43360678],
       [-0.        ,  0.99999997,  0.56639322]])]",1.3778705831616715,1.3023622963617503,0.458100401325379,0.42403688727214645,0.9451992895975329,0.9256418157358522
0.3,"[[array([0.38842933, 0.19459031, 0.41698036]), array([0.35189493, 0.49896114, 0.14914393])]]","[array([[1., 0., 1.],
       [0., 1., 0.]])]","[array([[ 0.58606172, -0.        ,  1.        ],
       [ 0.41393828,  1.        , -0.        ]])]","[array([[0.67221136, 0.        , 1.        ],
       [0.32778864, 1.        , 0.        ]])]","[array([[0.58606172, 0.        , 1.        ],
       [0.41393828, 1.        , 0.        ]])]",1.3043708365321631,1.289247847764802,0.41655445555182397,0.4155400028223918,0.9884059131469333,0.9975646575953958
0.3,"[[array([0.23400517, 0.40883211, 0.35716271]), array([0.41857744, 0.3719648 , 0.20945776])]]","[array([[0., 1., 1.],
       [1., 0., 0.]])]","[array([[-0.        ,  0.55504769,  1.        ],
       [ 1.        ,  0.44495231, -0.        ]])]","[array([[0.       , 0.6258488, 1.       ],
       [1.       , 0.3741512, 0.       ]])]","[array([[0.        , 0.55504769, 1.        ],
       [1.        , 0.44495231, 0.        ]])]",1.1845722627855935,1.1681680671164898,0.3419164591640419,0.34115415789982945,0.9861517982613165,0.9977705043329116
0.3,"[[array([0.13969758, 0.38241888, 0.47788354]), array([0.31673755, 0.52735029, 0.15591216])]]","[array([[0., 0., 1.],
       [1., 1., 0.]])]","[array([[-0.        ,  0.40252441,  1.        ],
       [ 1.        ,  0.59747559, -0.        ]])]","[array([[0.        , 0.17549347, 1.        ],
       [0.99999999, 0.82450653, 0.        ]])]","[array([[0.        , 0.40252441, 1.        ],
       [1.        , 0.59747559, 0.        ]])]",1.3219713855170467,1.2636329565874072,0.4095866760025688,0.399192061929999,0.9558701273198721,0.974621698698752
0.3,"[[array([0.009297  , 0.54345453, 0.44724847]), array([0.36131189, 0.55391153, 0.08477659])]]","[array([[0., 0., 1.],
       [1., 1., 0.]])]","[array([[-0.       ,  0.4264529,  1.       ],
       [ 1.       ,  0.5735471, -0.       ]])]","[array([[0.        , 0.41465928, 1.        ],
       [1.        , 0.58534072, 0.        ]])]","[array([[0.       , 0.4264529, 1.       ],
       [1.       , 0.5735471, 0.       ]])]",1.3624718856090117,1.3580124696194047,0.46109133379562556,0.4610494665260482,0.9967269665989374,0.9999091996172804
